T Wed Jan 22 08:45:03 CET 2014
4071 0.6127292 -0.0025713444 -3.4468422 -1.0915695 3.1246104 9.231234
4093 0.994457 -0.2934239 -1.2601309 -1.1093787 3.0706978 9.247188
4109 0.5006769 -0.8945377 2.4392824 -1.2093606 2.9822817 9.263576
4129 -0.23832047 -1.2121854 2.7049026 -1.2556614 2.9551642 9.266106
4150 -0.1453476 -0.7724483 0.6050825 -1.214559 2.9942675 9.259028
4169 -0.05060911 -0.27862334 -1.0142136 -1.1752222 3.0367436 9.250267
4193 -0.19199848 -0.87436867 -1.9376941 -1.1870617 3.0195735 9.2543745
4212 -0.03566909 -1.6521353 -1.9879546 -1.2093158 2.9737346 9.266328
4235 -0.4213965 -1.4874749 -1.4157972 -1.2641215 2.9431496 9.268779
4255 -1.0944015 -0.2573552 -0.37083817 -1.2998003 2.900554 9.277268
4278 -0.93080914 -0.26592064 1.0680094 -1.3293172 2.8325047 9.294096
4296 0.3581344 -0.9881977 -0.014009476 -1.3158151 2.807791 9.303512
4319 1.1580598 -1.4771384 -3.2506552 -1.2538279 2.837045 9.303197
4340 1.0096266 -1.3562267 -4.660089 -1.1820091 2.831055 9.314417
4349 0.66292244 -0.9331237 -0.7931614 -1.1992236 2.752717 9.335673
4369 -0.06111586 -1.0645047 3.5832367 -1.3370979 2.6542547 9.345452
4389 -0.528247 -0.66762924 2.6015406 -1.3871144 2.6787586 9.331161
4408 -0.876758 0.05176425 -0.1873312 -1.306754 2.7446632 9.323605
4428 -0.24156904 -0.3109479 -1.2677431 -1.2524128 2.7434568 9.331414
4448 0.5049634 -1.4552152 -1.8715892 -1.2711079 2.7002 9.341498
4468 0.4449166 -1.9901431 -2.5977087 -1.3259828 2.6796732 9.339781
4488 -0.78034663 -0.75596905 -1.3686676 -1.3648582 2.6713305 9.336571
4508 -1.2722236 -0.30385566 2.0302706 -1.3901287 2.6214428 9.346976
4530 -0.38343716 -0.57596374 3.8414478 -1.397849 2.587093 9.3553915
4550 0.39659965 -0.6053102 0.8606167 -1.3542804 2.6355932 9.348259
4574 0.5544988 -0.21683192 -2.3031034 -1.2823361 2.7259552 9.3324795
4598 0.46887654 -0.123595476 -0.37465954 -1.2733283 2.7093334 9.338551
4617 -0.12363279 -0.6631491 3.2544403 -1.3128883 2.655125 9.348638
4639 -0.15285778 -0.9743421 1.6317911 -1.3028169 2.6790137 9.343229
4659 -0.29302144 -0.37248945 -1.415865 -1.2392676 2.7666912 9.326307
4679 -0.45799863 0.027603626 -0.25154114 -1.246673 2.7496703 9.330354
4700 -0.26329684 -0.422889 3.2178354 -1.3072995 2.6638618 9.346935
4716 0.19892466 -1.2017548 2.5049543 -1.3289878 2.6382759 9.351132
4738 1.0567915 -0.8872713 -1.2572374 -1.2674813 2.7068646 9.340062
4757 0.720225 -0.10072017 -2.0734153 -1.1990653 2.7630725 9.332635
4780 -0.07438457 0.1005013 1.9193802 -1.2280612 2.7150798 9.342944
4799 -0.31340766 -0.78754747 3.845707 -1.3146495 2.645448 9.351132
4818 0.13035154 -1.3023573 0.61945057 -1.3178756 2.6814175 9.340428
4839 0.4365461 -1.0202429 -2.828855 -1.2793051 2.7632217 9.32193
4865 0.08423281 0.095596075 -3.0906758 -1.2526033 2.7965996 9.3156
4885 -0.7246741 -0.15738964 1.1990862 -1.3056089 2.7048202 9.335402
4899 -0.80399954 -1.1155581 3.4672546 -1.3795124 2.6286936 9.346513
4924 -0.12858844 -1.0064094 -0.15323067 -1.3462398 2.711081 9.327811
4937 0.20765543 0.15577102 -3.5474167 -1.2802578 2.7938855 9.3126545
4957 0.06555414 0.26246214 -1.1275711 -1.2530782 2.7638087 9.325317
4976 0.25290477 -0.80723345 2.681755 -1.3446608 2.6459804 9.346714
4996 0.06155646 -1.362459 0.56125736 -1.3831558 2.645751 9.341161
5016 0.15850723 -0.5855048 -2.5856323 -1.3460313 2.711556 9.327704
5038 -0.1389159 0.05329132 -2.0142646 -1.2976052 2.7239826 9.330945
5058 -0.20534539 -0.31241107 1.0329113 -1.3269436 2.649152 9.348348
5082 -0.12862396 -0.84711146 2.1164694 -1.3845115 2.5900903 9.356545
5106 -0.41456163 -0.4576068 -0.92282104 -1.3284172 2.6411188 9.350411
5124 -0.35274625 -0.080177784 -1.9219756 -1.2944645 2.646762 9.353578
5143 -0.06366098 -0.48329663 -0.24665356 -1.3345528 2.5901942 9.363773
5167 -0.116087794 -0.6813444 -0.7634258 -1.3970476 2.5583985 9.363399
5185 -0.35738182 -0.39926982 -1.5106888 -1.385597 2.5636282 9.36367
5260 -0.45338237 -0.30234814 0.17528915 -1.3662109 2.5050137 9.382364
5260 0.11948216 -0.9189122 1.0830088 -1.3836206 2.4512012 9.394018
5261 0.8838409 -0.8254776 -0.80556583 -1.3626813 2.491842 9.386385
5275 0.24826276 -0.16613793 -1.4136791 -1.3400187 2.5220325 9.381582
5295 -0.27343452 -0.06991339 2.2747288 -1.3546226 2.4832687 9.389822
5315 -0.38936603 -0.44970536 3.7604427 -1.3727664 2.4416811 9.398089
5334 -0.17660761 -1.0391426 0.4556036 -1.3365278 2.4948173 9.389354
5354 -0.114976525 -0.38529968 -2.6156025 -1.2832372 2.5688117 9.376828
5374 -0.040750742 0.4603424 -2.2118278 -1.261695 2.585082 9.375279
5394 -0.46345842 -0.3877046 0.99431324 -1.3178277 2.5137558 9.386946
